＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
161030091,FUT_TOA3M_260616,,202603,,99.2225,,,,,300,無担保コールO/N物レート
161060091,FUT_TOA3M_260915,,202606,,99.1325,,,,,391,無担保コールO/N物レート
161090091,FUT_TOA3M_261215,,202609,,99.06,,,,,482,無担保コールO/N物レート
161120091,FUT_TOA3M_270316,,202612,,99.01,,,,,573,無担保コールO/N物レート
162030091,FUT_TOA3M_270615,,202703,,98.9725,,,,,664,無担保コールO/N物レート
162060091,FUT_TOA3M_270914,,202706,,98.935,,,,,755,無担保コールO/N物レート
162090091,FUT_TOA3M_271214,,202709,,98.9075,,,,,846,無担保コールO/N物レート
162120091,FUT_TOA3M_280314,,202712,,98.88,,,,,937,無担保コールO/N物レート
163030091,FUT_TOA3M_280620,,202803,,98.855,,,,,1035,無担保コールO/N物レート
163060091,FUT_TOA3M_280919,,202806,,98.8325,,,,,1126,無担保コールO/N物レート
163090091,FUT_TOA3M_281219,,202809,,98.815,,,,,1217,無担保コールO/N物レート
163120091,FUT_TOA3M_290319,,202812,,98.795,,,,,1308,無担保コールO/N物レート
164030091,FUT_TOA3M_290619,,202903,,98.7725,,,,,1399,無担保コールO/N物レート
164060091,FUT_TOA3M_290918,,202906,,98.7475,,,,,1490,無担保コールO/N物レート
164090091,FUT_TOA3M_291218,,202909,,98.72,,,,,1581,無担保コールO/N物レート
164120091,FUT_TOA3M_300319,,202912,,98.695,,,,,1673,無担保コールO/N物レート
165030091,FUT_TOA3M_300618,,203003,,98.67,,,,,1763,無担保コールO/N物レート
160090011,FUT_MOTH_250911,,202509,,785,785,784.99,,0.5918,22,東証グロース市場250指数
160120011,FUT_MOTH_251211,,202512,,786,786,784.99,,0.8509,113,東証グロース市場250指数
161030011,FUT_MOTH_260312,,202603,,786,786,784.99,,0.7982,204,東証グロース市場250指数
161060011,FUT_MOTH_260611,,202606,,787,787,784.99,,0.7982,295,東証グロース市場250指数
161090011,FUT_MOTH_260910,,202609,,788,788,784.99,,0.7982,386,東証グロース市場250指数
160090078,FUT_TAIX_250916,,202509,,23849,,23962.13,,,27,台湾加権
160100078,FUT_TAIX_251014,,202510,,23840,,23962.13,,,55,台湾加権
160120078,FUT_TAIX_251216,,202512,,23801,,23962.13,,,118,台湾加権
161030078,FUT_TAIX_260317,,202603,,23725,,23962.13,,,209,台湾加権
161060078,FUT_TAIX_260616,,202606,,23638,,23962.13,,,300,台湾加権
160080079,FUT_FT50_250828,,202508,,17410,,17288.14,,,8,FTSE中国50
160090079,FUT_FT50_250929,,202509,,17360,,17288.14,,,40,FTSE中国50
160120079,FUT_FT50_251230,,202512,,17470,,17288.14,,,137,FTSE中国50
161030079,FUT_FT50_260330,,202603,,17505,,17288.14,,,222,FTSE中国50
160090015,FUT_NVI_250909,,202509,,25.65,,25.06,,,20,日経平均VI
160100015,FUT_NVI_251014,,202510,,25.15,,25.06,,,55,日経平均VI
160110015,FUT_NVI_251111,,202511,,25.8,,25.06,,,83,日経平均VI
160120015,FUT_NVI_251209,,202512,,25.7,,25.06,,,111,日経平均VI
161010015,FUT_NVI_260113,,202601,,25.8,,25.06,,,146,日経平均VI
161020015,FUT_NVI_260209,,202602,,25.8,,25.06,,,173,日経平均VI
161030015,FUT_NVI_260310,,202603,,25.75,,25.06,,,202,日経平均VI
161040015,FUT_NVI_260407,,202604,,25.75,,25.06,,,230,日経平均VI
140330018,CAL_225_250911_10000,CAL,202509,10000,32605,32605,42610.17,228.8305,0.5918,22,日経225
140331018,CAL_225_250911_11000,CAL,202509,11000,31605,31605,42610.17,213.6782,0.5918,22,日経225
140332018,CAL_225_250911_12000,CAL,202509,12000,30605,30605,42610.17,199.9094,0.5918,22,日経225
140333018,CAL_225_250911_13000,CAL,202509,13000,29605,29605,42610.17,187.2936,0.5918,22,日経225
140334018,CAL_225_250911_14000,CAL,202509,14000,28605,28605,42610.17,175.6532,0.5918,22,日経225
140335018,CAL_225_250911_15000,CAL,202509,15000,27605,27605,42610.17,164.8482,0.5918,22,日経225
190216018,CAL_225_250911_16000,CAL,202509,16000,26605,26605,42610.17,154.7666,0.5918,22,日経225
190217018,CAL_225_250911_17000,CAL,202509,17000,25605,25605,42610.17,145.3173,0.5918,22,日経225
190218018,CAL_225_250911_18000,CAL,202509,18000,24605,24605,42610.17,136.4252,0.5918,22,日経225
190219018,CAL_225_250911_19000,CAL,202509,19000,23610,23610,42610.17,132.4326,0.5918,22,日経225
190210018,CAL_225_250911_20000,CAL,202509,20000,22610,22610,42610.17,124.307,0.5918,22,日経225
190211018,CAL_225_250911_21000,CAL,202509,21000,21610,21610,42610.17,116.5849,0.5918,22,日経225
190212018,CAL_225_250911_22000,CAL,202509,22000,20610,20610,42610.17,109.2268,0.5918,22,日経225
190213018,CAL_225_250911_23000,CAL,202509,23000,19610,19610,42610.17,102.1984,0.5918,22,日経225
190214018,CAL_225_250911_24000,CAL,202509,24000,18615,18615,42610.17,98.4095,0.5918,22,日経225
140095018,CAL_225_250911_25000,CAL,202509,25000,17615,17615,42610.17,91.8236,0.5918,22,日経225
140096018,CAL_225_250911_26000,CAL,202509,26000,16615,16615,42610.17,85.4904,0.5918,22,日経225
140097018,CAL_225_250911_27000,CAL,202509,27000,15615,15615,42610.17,79.3885,0.5918,22,日経225
190097218,CAL_225_250911_27250,CAL,202509,27250,15365,15365,42610.17,77.8969,0.5918,22,日経225
190097518,CAL_225_250911_27500,CAL,202509,27500,15120,15120,42610.17,78.5326,0.5918,22,日経225
190097718,CAL_225_250911_27750,CAL,202509,27750,14870,14870,42610.17,77.0389,0.5918,22,日経225
140098018,CAL_225_250911_28000,CAL,202509,28000,14620,14620,42610.17,75.5577,0.5918,22,日経225
190098218,CAL_225_250911_28250,CAL,202509,28250,14370,14370,42610.17,74.0888,0.5918,22,日経225
190098518,CAL_225_250911_28500,CAL,202509,28500,14120,14120,42610.17,72.6317,0.5918,22,日経225
190098718,CAL_225_250911_28750,CAL,202509,28750,13870,13870,42610.17,71.1864,0.5918,22,日経225
140099018,CAL_225_250911_29000,CAL,202509,29000,13620,13620,42610.17,69.7526,0.5918,22,日経225
190099218,CAL_225_250911_29250,CAL,202509,29250,13370,13370,42610.17,68.3299,0.5918,22,日経225
190099518,CAL_225_250911_29500,CAL,202509,29500,13125,13125,42610.17,68.5768,0.5918,22,日経225
190099718,CAL_225_250911_29750,CAL,202509,29750,12875,12875,42610.17,67.1513,0.5918,22,日経225
140090018,CAL_225_250911_30000,CAL,202509,30000,12625,12625,42610.17,65.7364,0.5918,22,日経225
190090218,CAL_225_250911_30250,CAL,202509,30250,12375,12375,42610.17,64.3317,0.5918,22,日経225
190090518,CAL_225_250911_30500,CAL,202509,30500,12125,12125,42610.17,62.9371,0.5918,22,日経225
190090718,CAL_225_250911_30750,CAL,202509,30750,11875,11875,42610.17,61.5523,0.5918,22,日経225
140091018,CAL_225_250911_31000,CAL,202509,31000,11630,11630,42610.17,61.5315,0.5918,22,日経225
190091218,CAL_225_250911_31250,CAL,202509,31250,11380,11380,42610.17,60.1436,0.5918,22,日経225
190091518,CAL_225_250911_31500,CAL,202509,31500,11130,11130,42610.17,58.7648,0.5918,22,日経225
190091718,CAL_225_250911_31750,CAL,202509,31750,10880,10880,42610.17,57.395,0.5918,22,日経225
140092018,CAL_225_250911_32000,CAL,202509,32000,10630,10630,42610.17,56.0338,0.5918,22,日経225
190092218,CAL_225_250911_32250,CAL,202509,32250,10385,10385,42610.17,55.8145,0.5918,22,日経225
190092518,CAL_225_250911_32500,CAL,202509,32500,10135,10135,42610.17,54.4499,0.5918,22,日経225
190092718,CAL_225_250911_32750,CAL,202509,32750,9885,9885,42610.17,53.0932,0.5918,22,日経225
140093018,CAL_225_250911_33000,CAL,202509,33000,9640,9640,42610.17,52.7345,0.5918,22,日経225
190093218,CAL_225_250911_33250,CAL,202509,33250,9390,9390,42610.17,51.3745,0.5918,22,日経225
190093518,CAL_225_250911_33500,CAL,202509,33500,9140,9140,42610.17,50.0218,0.5918,22,日経225
190093718,CAL_225_250911_33750,CAL,202509,33750,8890,8890,42610.17,48.6762,0.5918,22,日経225
140094018,CAL_225_250911_34000,CAL,202509,34000,8640,8640,42610.17,47.3372,0.5918,22,日経225
190094218,CAL_225_250911_34250,CAL,202509,34250,8395,8395,42610.17,46.8411,0.5918,22,日経225
190094518,CAL_225_250911_34500,CAL,202509,34500,8145,8145,42610.17,45.4975,0.5918,22,日経225
140094718,CAL_225_250911_34750,CAL,202509,34750,7900,7900,42610.17,44.9132,0.5918,22,日経225
190095018,CAL_225_250911_35000,CAL,202509,35000,7650,7650,42610.17,43.5649,0.5918,22,日経225
140095218,CAL_225_250911_35250,CAL,202509,35250,7400,7400,42610.17,42.222,0.5918,22,日経225
140095518,CAL_225_250911_35500,CAL,202509,35500,7155,7155,42610.17,41.5504,0.5918,22,日経225
140095718,CAL_225_250911_35750,CAL,202509,35750,6905,6905,42610.17,40.2018,0.5918,22,日経225
140095818,CAL_225_250911_35875,CAL,202509,35875,6785,6785,42610.17,40.1409,0.5918,22,日経225
190096018,CAL_225_250911_36000,CAL,202509,36000,6660,6660,42610.17,39.4619,0.5918,22,日経225
140096118,CAL_225_250911_36125,CAL,202509,36125,6535,6535,42610.17,38.7839,0.5918,22,日経225
140096218,CAL_225_250911_36250,CAL,202509,36250,6415,6415,42610.17,38.6705,0.5918,22,日経225
140096318,CAL_225_250911_36375,CAL,202509,36375,6290,6290,42610.17,37.9872,0.5918,22,日経225
140096518,CAL_225_250911_36500,CAL,202509,36500,6165,6165,42610.17,37.3048,0.5918,22,日経225
140096618,CAL_225_250911_36625,CAL,202509,36625,6045,6045,42610.17,37.1439,0.5918,22,日経225
140096718,CAL_225_250911_36750,CAL,202509,36750,5920,5920,42610.17,36.4562,0.5918,22,日経225
140096818,CAL_225_250911_36875,CAL,202509,36875,5795,5795,42610.17,35.7691,0.5918,22,日経225
190097018,CAL_225_250911_37000,CAL,202509,37000,5675,5675,42610.17,35.5647,0.5918,22,日経225
140097118,CAL_225_250911_37125,CAL,202509,37125,5555,5555,42610.17,35.3316,0.5918,22,日経225
140097218,CAL_225_250911_37250,CAL,202509,37250,5430,5430,42610.17,34.6332,0.5918,22,日経225
140097318,CAL_225_250911_37375,CAL,202509,37375,5310,5310,42610.17,34.368,0.5918,22,日経225
140097518,CAL_225_250911_37500,CAL,202509,37500,5185,5185,42610.17,33.6642,0.5918,22,日経225
140097618,CAL_225_250911_37625,CAL,202509,37625,5065,5065,42610.17,33.3689,0.5918,22,日経225
140097718,CAL_225_250911_37750,CAL,202509,37750,4940,4940,42610.17,32.6595,0.5918,22,日経225
140097818,CAL_225_250911_37875,CAL,202509,37875,4820,4820,42610.17,32.3359,0.5918,22,日経225
190098018,CAL_225_250911_38000,CAL,202509,38000,4725,4725,42610.17,33.7231,0.5918,22,日経225
140098118,CAL_225_250911_38125,CAL,202509,38125,4580,4580,42610.17,31.6262,0.5918,22,日経225
140098218,CAL_225_250911_38250,CAL,202509,38250,4455,4455,42610.17,30.8994,0.5918,22,日経225
140098318,CAL_225_250911_38375,CAL,202509,38375,4335,4335,42610.17,30.5097,0.5918,22,日経225
140098518,CAL_225_250911_38500,CAL,202509,38500,4215,4215,42610.17,30.1019,0.5918,22,日経225
140098618,CAL_225_250911_38625,CAL,202509,38625,4100,4100,42610.17,29.9847,0.5918,22,日経225
140098718,CAL_225_250911_38750,CAL,202509,38750,3975,3975,42610.17,29.2346,0.5918,22,日経225
140098818,CAL_225_250911_38875,CAL,202509,38875,3860,3860,42610.17,29.0643,0.5918,22,日経225
190099018,CAL_225_250911_39000,CAL,202509,39000,3735,3735,42610.17,28.3021,0.5918,22,日経225
140099118,CAL_225_250911_39125,CAL,202509,39125,3625,3625,42610.17,28.3486,0.5918,22,日経225
140099218,CAL_225_250911_39250,CAL,202509,39250,3500,3500,42610.17,27.5694,0.5918,22,日経225
140099318,CAL_225_250911_39375,CAL,202509,39375,3385,3385,42610.17,27.2921,0.5918,22,日経225
140099518,CAL_225_250911_39500,CAL,202509,39500,3265,3265,42610.17,26.7428,0.5918,22,日経225
140099618,CAL_225_250911_39625,CAL,202509,39625,3155,3155,42610.17,26.6432,0.5918,22,日経225
140099718,CAL_225_250911_39750,CAL,202509,39750,3035,3035,42610.17,26.0528,0.5918,22,日経225
140099818,CAL_225_250911_39875,CAL,202509,39875,2925,2925,42610.17,25.8787,0.5918,22,日経225
190090018,CAL_225_250911_40000,CAL,202509,40000,2810,2810,42610.17,25.4559,0.5918,22,日経225
140090118,CAL_225_250911_40125,CAL,202509,40125,2695,2695,42610.17,25.0071,0.5918,22,日経225
140090218,CAL_225_250911_40250,CAL,202509,40250,2580,2575,42610.17,24.3421,0.5918,22,日経225
